company_number,company_name
11273459,CARILLION ALAWI UK LIMITED
11059419,ASK DEANSGATE LIMITED
04698269,CARILLION PENSION PLAN TRUSTEES LIMITED
13783043,FRUIT MARKET MANAGEMENT COMPANY LIMITED
16561390,SALBOY CENTRAL (SPV CO 1) LIMITED
OC458100,URBAN SPLASH & IGLOO DEVELOPMENTS LLP
16743191,PFP-HGP DEVCO 4 LIMITED
17030971,PFP-HGP DEVCO 6 LIMITED
17031189,PFP-HGP DEVCO 5 LIMITED
17392519,THE MAXIM RESIDENTS MANAGEMENT COMPANY LIMITED
17392602,THE MAXIM (BLOCK 1) RESIDENTS MANAGEMENT COMPANY LIMITED
17397197,THE MAXIM (BLOCK 2) RESIDENTS MANAGEMENT COMPANY LIMITED
